modelo,parametros_b,bbh,gsm8k,musr,mmlu_pro,gpqa,arc_challenge,ifeval,truthfulqa,hellaswag
meta-llama/Meta-Llama-3-70B,70.55,64.61,76.88,45.18,47.09,39.77,68.77,16.03,45.56,87.98
meta-llama/Meta-Llama-3-70B-Instruct,70.55,65.47,85.44,41.54,52.07,28.69,71.42,80.99,61.81,85.69
meta-llama/Meta-Llama-3-8B,8.03,45.98,45.19,36.14,32.1,30.54,60.24,14.55,42.93,82.23
meta-llama/Meta-Llama-3-8B-Instruct,8.03,49.89,68.69,35.68,36.64,25.92,60.75,74.08,51.65,78.55
microsoft/Orca-2-13b,13.0,48.84,37.83,51.3,27.49,28.02,60.92,31.28,56.42,79.85
microsoft/Orca-2-7b,7.0,44.52,14.71,50.26,23.19,26.09,54.1,21.83,52.45,76.19
microsoft/Phi-3-medium-128k-instruct,13.96,63.82,81.05,41.29,47.12,33.64,66.47,60.4,54.52,84.85
microsoft/Phi-3-medium-4k-instruct,13.96,64.12,79.38,42.58,46.76,33.64,67.32,64.23,57.71,85.76
migtissera/Llama-3-8B-Synthia-v3.5,8.03,48.88,63.0,40.44,30.3,27.18,61.52,50.7,54.6,80.94
mistral-community/Mistral-7B-v0.2,7.24,45.1,34.95,40.32,29.53,29.19,60.67,22.66,41.79,83.01
mistralai/Mistral-7B-Instruct-v0.1,7.24,33.55,14.25,38.48,24.14,25.0,54.52,44.87,56.28,75.63
mistralai/Mistral-7B-Instruct-v0.2,7.24,44.6,40.03,39.66,27.17,27.6,63.14,54.96,68.26,84.88
